time_s,left_x_m,left_y_m,left_z_m,right_x_m,right_y_m,right_z_m
2.290600000000501169e+01,-3.497882177432048989e-01,-7.498527588324988002e-01,4.000259906836151069e-01,-1.124486962705721627e-03,-5.000371722260836815e-01,2.803030498026837791e-01
2.290700000000501291e+01,-3.497884355956616398e-01,-7.498528614346017251e-01,4.000259929944390280e-01,-1.124476752931161116e-03,-5.000371701493947496e-01,2.803030012249201341e-01
2.290800000000501413e+01,-3.497886531738884086e-01,-7.498529639615713061e-01,4.000259952745188752e-01,-1.124466459105945282e-03,-5.000371680344306569e-01,2.803029529437820466e-01
2.290900000000501535e+01,-3.497888704782609604e-01,-7.498530664134603896e-01,4.000259975239220944e-01,-1.124456081600673507e-03,-5.000371658813765885e-01,2.803029049582699272e-01
2.291000000000501657e+01,-3.497890875091548279e-01,-7.498531687903241538e-01,4.000259997427157432e-01,-1.124445620764399911e-03,-5.000371636904078487e-01,2.803028572674446939e-01
2.291100000000501780e+01,-3.497893042669452668e-01,-7.498532710922155564e-01,4.000260019309670456e-01,-1.124435569269950641e-03,-5.000371616441190437e-01,2.803028084890569205e-01
2.291200000000501902e+01,-3.497895207520063110e-01,-7.498533733191896644e-01,4.000260040887426150e-01,-1.124425433457941492e-03,-5.000371595596379004e-01,2.803027600076559711e-01
2.291300000000502024e+01,-3.497897369647121613e-01,-7.498534754712996575e-01,4.000260062161096197e-01,-1.124415213721932649e-03,-5.000371574371575978e-01,2.803027118221813607e-01
2.291400000000502146e+01,-3.497899529054364631e-01,-7.498535775486000476e-01,4.000260083131346178e-01,-1.124404910430740201e-03,-5.000371552768613226e-01,2.803026639316355539e-01
2.291500000000502268e+01,-3.497901685745520295e-01,-7.498536795511444586e-01,4.000260103798840006e-01,-1.124394523932377432e-03,-5.000371530789237129e-01,2.803026163350810229e-01
2.291600000000502391e+01,-3.497903839724315067e-01,-7.498537814789868472e-01,4.000260124164244369e-01,-1.124384545485038189e-03,-5.000371510244522311e-01,2.803025676532549526e-01
2.291700000000502513e+01,-3.497905990994455983e-01,-7.498538833321803931e-01,4.000260144228222070e-01,-1.124374482847891044e-03,-5.000371489320638574e-01,2.803025192677158772e-01
2.291800000000502635e+01,-3.497908139559667284e-01,-7.498539851107797194e-01,4.000260163991438134e-01,-1.124364336412393695e-03,-5.000371468019499943e-01,2.803024711774052546e-01
2.291900000000502757e+01,-3.497910285423652121e-01,-7.498540868148382277e-01,4.000260183454547591e-01,-1.124354106546751608e-03,-5.000371446342934956e-01,2.803024233813275479e-01
2.292000000000502880e+01,-3.497912428590114753e-01,-7.498541884444100969e-01,4.000260202618215466e-01,-1.124343793597937236e-03,-5.000371424292672229e-01,2.803023758785477271e-01
